EventID,Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actors
235,CSI: NY- episode 903,2012,Palace of Fine Arts (3301 Lyon Street),,CBS Television Studios,Columbia Broadcasting System,Vikki Williams,Anthony E. Zuiker,"Gary Sinise, Sela Ward, Carmine Giovinazzo"
236,Dark Passage,1947,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Warner Bros. Pictures,Warner Bros.,Delmer Daves,Delmer Daves & David Goodis,"Humphrey Bogart, Lauren Bacal, Rob Schneider"
237,Dark Passage,1947,"Filbert Steps, Filbert Street",,Warner Bros. Pictures,Warner Bros.,Delmer Daves,Delmer Daves & David Goodis,"Humphrey Bogart, Lauren Bacal, Raven-Symone"
238,Dark Passage,1947,The Malloch Apartment Building (1360 Montgomery Street),,Warner Bros. Pictures,Warner Bros.,Delmer Daves,Delmer Daves & David Goodis,"Humphrey Bogart, Lauren Bacal, Bruno Campos"
239,Dawn of the Planet of the Apes,2014,California St from Mason to Kearny,,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Matt Reeves,Rick Jaffa,"Gary Oldman, Keri Russell, Andy Serkis"
240,Dawn of the Planet of the Apes,2014,California & Powell ,,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Matt Reeves,Rick Jaffa,"Gary Oldman, Keri Russell, Andy Serkis"
241,Dawn of the Planet of the Apes,2014,Alioto Park,,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Matt Reeves,Rick Jaffa,"Gary Oldman, Keri Russell, Andy Serkis"
242,Dawn of the Planet of the Apes,2014,University Club,,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Matt Reeves,Rick Jaffa,"Gary Oldman, Keri Russell, Andy Serkis"
243,Dawn of the Planet of the Apes,2014,Filbert St. from Hyde to Leavenworth,,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Matt Reeves,Rick Jaffa,"Gary Oldman, Keri Russell, Andy Serkis"
244,Dawn of the Planet of the Apes,2014,City Hall,,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Matt Reeves,Rick Jaffa,"Gary Oldman, Keri Russell, Andy Serkis"
245,Dawn of the Planet of the Apes,2014,Columbus & Pacific Ave,,"Fox Louisiana Productions, LLC",Twentieth Century Fox,Matt Reeves,Rick Jaffa,"Gary Oldman, Keri Russell, Andy Serkis"
246,Days of Wine and Roses,1962,,,Warner Bros. Pictures,Warner Bros.,Blake Edwards,JP Miller,"Jack Lemmon, Lee Remick, Raven-Symone"
247,Desperate Measures,1998,,,Mandalay Entertainment,TriStar Pictures,Barbet Schroeder,David Klass,"Michael Keaton, Andy Garcia, Raven-Symone"
248,Dim Sum: A Little Bit of Heart,1985,San Francisco International Airport,SFO has a museum dedicated to aviation history. ,CIM,Orion Classics,Wayne Wang,Terrel Seltzer,Raven-Symone
249,Dim Sum: A Little Bit of Heart,1985,"Li Po (916 Grant Avenue at Washington, Chinatown)",,CIM,Orion Classics,Wayne Wang,Terrel Seltzer,Raven-Symone
250,Dim Sum: A Little Bit of Heart,1985,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",CIM,Orion Classics,Wayne Wang,Terrel Seltzer,
251,Dirty Harry,1971,Marina Green (Marina District),"Before the 1906 earthquake, the land on which Marina Green sits was a tidal marsh, and rubble from the earthquake was dumped on the site. However, the site was filled in to provide land for the 1915 Panama-Pacific Exhibition. ",The Malpaso Company,Warner Bros.,Don Siegel,Harry Julian Fink,Clint Eastwood   Woody Harrelson
252,Dirty Harry,1971,Washington Square (North Beach),,The Malpaso Company,Warner Bros.,Don Siegel,Harry Julian Fink,Clint Eastwood
253,Dirty Harry,1971,The Embarcadero,,The Malpaso Company,Warner Bros.,Don Siegel,Harry Julian Fink,Clint Eastwood   Cathy Moriarty
254,Dirty Harry,1971,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not alllowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptuals.",The Malpaso Company,Warner Bros.,Don Siegel,Harry Julian Fink,Clint Eastwood   Cathy Moriarty
255,Dirty Harry,1971,San Francisco Drydock (20th and Illinois Streets),,The Malpaso Company,Warner Bros.,Don Siegel,Harry Julian Fink,Clint Eastwood
256,Dirty Harry,1971,Portsmouth Square (Chinatown),In 1847 the first public school in California was erected on what would become Portsmouth Square.,The Malpaso Company,Warner Bros.,Don Siegel,Harry Julian Fink,Clint Eastwood   Woody Harrelson
257,Dirty Harry,1971,"Mt. Davidson Cross, Mt. Davidson","The cross sits at the highest point in San Francisco (938 feet). This version of the cross was erected in 1934.Though in Dirty Harry the cross is lit at night, the City stopped this practice in 1990.",The Malpaso Company,Warner Bros.,Don Siegel,Harry Julian Fink,Clint Eastwood   Woody Harrelson
258,Dirty Harry,1971,Mission Delores Park (Mission District),"The two land plots that comprise the Park were used as a Jewish cemetary until 1894 when San Francisco prohibited all burials within city limits.The graves were moved to Colma, CA.",The Malpaso Company,Warner Bros.,Don Siegel,Harry Julian Fink,Clint Eastwood   Woody Harrelson
259,Dirty Harry,1971,"Kezar Stadium, Golden Gate Park",The stadium was demolished and completely rebuilt after sustaining damages in the 1898 Loma Prieta earthquake.,The Malpaso Company,Warner Bros.,Don Siegel,Harry Julian Fink,Clint Eastwood   Woody Harrelson
260,Dirty Harry,1971,Holiday Inn Select Downtown Hotel (750 Kearney Street),,The Malpaso Company,Warner Bros.,Don Siegel,Harry Julian Fink,Clint Eastwood   Woody Harrelson
261,Dirty Harry,1971,Hall of Justice (850 Bryant Street),,The Malpaso Company,Warner Bros.,Don Siegel,Harry Julian Fink,Clint Eastwood   Woody Harrelson
262,Dirty Harry,1971,Forest Hill Station- MUNI,,The Malpaso Company,Warner Bros.,Don Siegel,Harry Julian Fink,Clint Eastwood   Woody Harrelson
263,Dirty Harry,1971,Dante Building (1606 Stockton Street at Union),,The Malpaso Company,Warner Bros.,Don Siegel,Harry Julian Fink,Clint Eastwood   Woody Harrelson
264,Dirty Harry,1971,"California Hall (625 Polk Street, Van Ness/Civic Center)",,The Malpaso Company,Warner Bros.,Don Siegel,Harry Julian Fink,Clint Eastwood
265,Dirty Harry,1971,Bank of America Building (555 California Street),"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",The Malpaso Company,Warner Bros.,Don Siegel,Harry Julian Fink,Clint Eastwood
266,D.O.A,1950,"Westin St. Francis Hotel (335 Powell Street, Union Square)","The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels. ",Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,"Edmond O'Brien, Pamela Britton"
267,D.O.A,1950,Union Square,"During the Civil War, pro-Union rallies were held in the Square, and thus the area was called ""Union Square"". ",Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,"Edmond O'Brien, Pamela Britton, Oliver Platt"
268,D.O.A,1950,The Embarcadero/ Ferry Building,"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,"Edmond O'Brien, Pamela Britton, Oliver Platt"
269,D.O.A,1950,Southern Pacific Memorial Hospital (1400 Fell Street),,Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,"Edmond O'Brien, Pamela Britton, Oliver Platt"
270,D.O.A,1950,Powell & California Streets,,Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,"Edmond O'Brien, Pamela Britton, Oliver Platt"
271,D.O.A,1950,Market Street (from 6th- 4th Streets),,Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,"Edmond O'Brien, Pamela Britton, Oliver Platt"
272,D.O.A,1950,Market & Steuart Streets (Financial District),,Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,"Edmond O'Brien, Pamela Britton, Oliver Platt"
273,D.O.A,1950,"Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)",The Top of the Mark lounge and restaurant at the top of the hotel was formerly a penthouse suite.,Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,"Edmond O'Brien, Pamela Britton, Oliver Platt"
274,D.O.A,1950,Chambord Apartments (1298 Sacramento Street at Jones),,Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,"Edmond O'Brien, Pamela Britton, Bruno Campos"
275,Doctor Dolittle,1998,Webster Street,,Twentieth Century Fox,Twentieth Century Fox,Betty Thomas,Nat Mauldin,"Eddie Murphy, Ossie Davis"
276,Doctor Dolittle,1998,Telegraph Hill Blvd (Telegraph Hill),,Twentieth Century Fox,Twentieth Century Fox,Betty Thomas,Nat Mauldin,"Eddie Murphy, Ossie Davis"
277,Doctor Dolittle,1998,Larkin & Hyde Streets,,Twentieth Century Fox,Twentieth Century Fox,Betty Thomas,Nat Mauldin,"Eddie Murphy, Ossie Davis"
278,Doctor Dolittle,1998,Gabbiano's Restaurant (Ferry Building),"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Twentieth Century Fox,Twentieth Century Fox,Betty Thomas,Nat Mauldin,"Eddie Murphy, Ossie Davis"
279,Doctor Dolittle,1998,Coit Tower,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Twentieth Century Fox,Twentieth Century Fox,Betty Thomas,Nat Mauldin,"Eddie Murphy, Ossie Davis"
280,Doctor Dolittle,1998,2107 Union Street,,Twentieth Century Fox,Twentieth Century Fox,Betty Thomas,Nat Mauldin,"Eddie Murphy, Ossie Davis"
281,Doctor Dolittle,1998,2100 Green Street,,Twentieth Century Fox,Twentieth Century Fox,Betty Thomas,Nat Mauldin,"Eddie Murphy, Ossie Davis"
282,Dopamine,2003,"South Park (Between 2nd and 3rd Streets, Brannan and Bryant Streets)",,Kontent Films,Sundance Channel,Mark Decena,Mark Decena & Timothy Breitbach,"John Livingston, Sabrina Lloyd"
283,Dopamine,2003,"Fort Point (Presidio, Golden Gate National Recreation Area)","Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confererate general learned that the war had ended while en route to SF.",Kontent Films,Sundance Channel,Mark Decena,Mark Decena & Timothy Breitbach,"John Livingston, Sabrina Lloyd"
284,Down Periscope,1996,,,Twentieth Century Fox,Twentieth Century Fox,David S. Ward,Hugh Wilson,"Kelsey Grammer, Lauren Holly, William Devane"
285,Dr. Dolittle 2,2001,"Building 924, Presido (Golden Gate National Recreation Area)","In 1776, Spain made the Presido a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use. ",Twentieth Century Fox,Twentieth Century Fox,Steve Carr,Larry Levin,"Eddie Murphy, Kristen Wilson"
286,Dr. Dolittle 2,2001,"West Chrissy Field (Presidio, Golden Gate National Recreation Area)",This movie was the first to film in the revamped Chrissy Field Picnic Area.,Twentieth Century Fox,Twentieth Century Fox,Steve Carr,Larry Levin,"Eddie Murphy, Kristen Wilson, William Devane"
287,Dr. Dolittle 2,2001,"Sacramento St., Between Pierce & Broderick Streets ",,Twentieth Century Fox,Twentieth Century Fox,Steve Carr,Larry Levin,"Eddie Murphy, Kristen Wilson, William Devane"
288,Dr. Dolittle 2,2001,Hyde Street & Lombard Street,,Twentieth Century Fox,Twentieth Century Fox,Steve Carr,Larry Levin,"Eddie Murphy, Kristen Wilson, William Devane"
289,Dr. Dolittle 2,2001,"Broadway, Between Franklin & Laguna Streets",,Twentieth Century Fox,Twentieth Century Fox,Steve Carr,Larry Levin,"Eddie Murphy, Kristen Wilson, Laura Dern"
290,Dream for an Insomniac,1996,Baker Beach,"From 1986-1990, the north end of Baker Beach was home to the Burning Man festival.",Tritone Productions,Columbia TriStar Home Video,Tiffanie DeBartolo,Tiffanie DeBartolo,"Ione Skye, Jennifer Aniston, Rosie Perez"
291,Dream for an Insomniac,1996,Elbo Room (647 Valencia Street),"This location is called the ""Caf̩ Blue Eyes"" in the film.",Tritone Productions,Columbia TriStar Home Video,Tiffanie DeBartolo,Tiffanie DeBartolo,"Ione Skye, Jennifer Aniston, Julia Louis-Dreyfus"
292,Dream with the Fishes,1997,Bay Bridge,"Before opening in 1936, the bridge was blessed by Cardinal Secretary of State Eugene Cardinal Pacelli, who later became Pope Pius XII. ",3 Ring Circus Films,Sony Pictures Classics,Finn Taylor,Finn Taylor & Jeffrey Brown,"David Arquette, Brad Hunt, Rosie Perez"
293,Dream with the Fishes,1997,Pier 39,,3 Ring Circus Films,Sony Pictures Classics,Finn Taylor,Finn Taylor & Jeffrey Brown,"David Arquette, Brad Hunt, Rosie Perez"
294,Dying Young,1991,,,Twentieth Century Fox,Twentieth Century Fox,Joel Schumacher,Richard Friedenberg,"Julia Roberts, Campbell Scott, Rosie Perez"
295,Edtv,1999,Palace of Fine Arts (3301 Lyon Street),"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",Imagine Entertainment,MCA / Universal Pictures,Ron Howard,Lowell Ganz,"Matthew McConaughey, Jenna Elfman, Rosie Perez"
296,Edtv,1999,Moose's Restaurant (1652 Stockton),,Imagine Entertainment,MCA / Universal Pictures,Ron Howard,Lowell Ganz,"Matthew McConaughey, Jenna Elfman, Rosie Perez"
297,Edtv,1999,Mario's Bohemian Cigar Store (Washington Square),,Imagine Entertainment,MCA / Universal Pictures,Ron Howard,Lowell Ganz,"Matthew McConaughey, Jenna Elfman, Rosie Perez"
298,Edtv,1999,"Center for the Arts, Yerba Buena Gardens (701 Mission Street)",,Imagine Entertainment,MCA / Universal Pictures,Ron Howard,Lowell Ganz,"Matthew McConaughey, Jenna Elfman, Rosie Perez"
299,Edtv,1999,"Castro Theatre (429 Castro Street, The Castro)","The original Castro Theatre was built in 1910, a few doors down from the current theatre. The original theatre was converted into retail space, and the current theatre was built in the 1920s.",Imagine Entertainment,MCA / Universal Pictures,Ron Howard,Lowell Ganz,"Matthew McConaughey, Jenna Elfman, Uma Thurman"
300,Edtv,1999,20th & Connecticut Streets (Potrero Hill),,Imagine Entertainment,MCA / Universal Pictures,Ron Howard,Lowell Ganz,"Matthew McConaughey, Jenna Elfman, Uma Thurman"
301,Edtv,1999,19 Green Street (North Beach),,Imagine Entertainment,MCA / Universal Pictures,Ron Howard,Lowell Ganz,"Matthew McConaughey, Jenna Elfman, Uma Thurman"
302,Edtv,1999,1138 Filbert Street,,Imagine Entertainment,MCA / Universal Pictures,Ron Howard,Lowell Ganz,"Matthew McConaughey, Jenna Elfman, Uma Thurman"
303,Edtv,1999,North Beach Video (1398 Grant Avenue at Green),The video store has since moved to an adjacent location. ,Imagine Entertainment,MCA / Universal Pictures,Ron Howard,Lowell Ganz,"Matthew McConaughey, Jenna Elfman, Rosie Perez"
304,Escape From Alcatraz,1979,Alcatraz Island,Alcatraz Island was a military fort before it became a prison.,Paramount Pictures,Paramount Pictures,Donald Siegel,Richard Tuggle,"Clint Eastwood, Patrick McGoohan, Uma Thurman"
305,Experiment in Terror,1962,The Sea Captain's Chest (Fisherman's Wharf),,Columbia Pictures,Columbia Pictures,Blake Edwards,The Gordons,"Glenn Ford, Lee Remick"
306,Experiment in Terror,1962,Roaring Twenties Nightclub (555 Broadway at Columbus),,Columbia Pictures,Columbia Pictures,Blake Edwards,The Gordons,"Glenn Ford, Lee Remick, Sally Field"
307,Experiment in Terror,1962,George Washington High School (600 32nd Avenue ),,Columbia Pictures,Columbia Pictures,Blake Edwards,The Gordons,"Glenn Ford, Lee Remick"
308,Experiment in Terror,1962,"Wells Fargo Bank (1 California Street, Financial District)",,Columbia Pictures,Columbia Pictures,Blake Edwards,The Gordons,"Glenn Ford, Lee Remick"
309,Experiment in Terror,1962,"Sheraton Palace Hotel (2 Montgomery Street, Financial District)","The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909. ",Columbia Pictures,Columbia Pictures,Blake Edwards,The Gordons,"Glenn Ford, Lee Remick"
310,Experiment in Terror,1962,Candlestick Park (602 Jamestown Ave.),"Then Vice President Richard Nixon threw out the first pitch when Candlestick openend in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park.",Columbia Pictures,Columbia Pictures,Blake Edwards,The Gordons,"Glenn Ford, Lee Remick"
311,Experiment in Terror,1962,2632 Larkin Street at Lombard,,Columbia Pictures,Columbia Pictures,Blake Edwards,The Gordons,"Glenn Ford, Lee Remick"
312,Experiment in Terror,1962,100 St. Germain Avenue,,Columbia Pictures,Columbia Pictures,Blake Edwards,The Gordons,"Glenn Ford, Lee Remick"
313,Experiment in Terror,1962,1 Monthgomery Street at Post,,Columbia Pictures,Columbia Pictures,Blake Edwards,The Gordons,"Glenn Ford, Lee Remick"
314,Faces of Death,1978,,,F.O.D Productions,Aquarius Releasing,Conan Le Cilaire,Alan Black,Michael Carr
315,Family Plot,1976,2230 Sacramento Street,"Called ""1001 Franklin"" in the film.",Universal Pictures,Universal Pictures,Alfred Hitchcock,Ernest Lehman,"Bruce Dern, Barbara Harris"
316,Family Plot,1976,Nob Hill,"Railroad tycoons like Leland Stanford (founder of Stanford University) lived in Nob Hill at the turn of the 20th Century. The 1906 earthquake completely destroeyd Nob Hill, with the exception of the wall that surrounded the mansions of Stanford and his neighbor Mark Hopkins. ",Universal Pictures,Universal Pictures,Alfred Hitchcock,Ernest Lehman,"Bruce Dern, Barbara Harris"
317,Family Plot,1976,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinus drafted the charter in the hotel's Garden Room.",Universal Pictures,Universal Pictures,Alfred Hitchcock,Ernest Lehman,"Bruce Dern, Barbara Harris"
318,Family Plot,1976,Grace Cathedral Episcopal Church (1100 California Street),Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Universal Pictures,Universal Pictures,Alfred Hitchcock,Ernest Lehman,"Bruce Dern, Barbara Harris"
319,Fandom,2004,,,The Digital Golem,Cinequest Distribution,Nicholas Tucker,Nicholas Tucker & Mark Hefti,"Mark Hefti, Peter Quintana"
320,Fathers' Day,1997,,,Northern Lights Entertainment,Columbia Broadcasting System,Ivan Reitman,Lowell Ganz,"Robin Williams, Billy Crystal"
321,Fat Man and Little Boy,1989,"Postcard Row (Alamo Square, Hayes Valley)",The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,Paramount Pictures,Paramount Pictures,Roland Joffe,Roland Joffe,"Paul Newman, John Cusack"
322,Fearless,1993,90 Gold Street,,Spring Creek Productions,Warner Bros.,Peter Weir,Rafael Yglesias,"Jeff Bridges, Isabella Rosellini"
323,Fearless,1993,5th and Beale Streets,,Spring Creek Productions,Warner Bros.,Peter Weir,Rafael Yglesias,"Jeff Bridges, Isabella Rosellini"
324,Fearless,1993,400 Montgomery Street,,Spring Creek Productions,Warner Bros.,Peter Weir,Rafael Yglesias,"Jeff Bridges, Isabella Rosellini"
325,Fearless,1993,Folsom Street & Embarcadero,,Spring Creek Productions,Warner Bros.,Peter Weir,Rafael Yglesias,"Jeff Bridges, Isabella Rosellini"
326,Fearless,1993,Varennes Alley between Filbert and Union,,Spring Creek Productions,Warner Bros.,Peter Weir,Rafael Yglesias,"Jeff Bridges, Isabella Rosellini"
327,Fearless,1993,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not alllowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptuals.",Spring Creek Productions,Warner Bros.,Peter Weir,Rafael Yglesias,"Jeff Bridges, Isabella Rosellini"
328,Fearless,1993,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)",SF General Hospital is the only Level I Trauma Center serving San Francisco and northern San Mateo County. ,Spring Creek Productions,Warner Bros.,Peter Weir,Rafael Yglesias,"Jeff Bridges, Isabella Rosellini"
329,Fearless,1993,Kohl Building (400 Montgomery Street),,Spring Creek Productions,Warner Bros.,Peter Weir,Rafael Yglesias,"Jeff Bridges, Isabella Rosellini"
330,Fearless,1993,Bank of America Building (555 California Street),"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Spring Creek Productions,Warner Bros.,Peter Weir,Rafael Yglesias,"Jeff Bridges, Isabella Rosellini"
331,Final Analysis,1992,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Warner Bros. Pictures,Warner Bros.,Phil Joanou,Robert Berger,"Richard Gere, Kim Basinger"
332,Final Analysis,1992,"Westin St. Francis Hotel (335 Powell Street, Union Square)","The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels. ",Warner Bros. Pictures,Warner Bros.,Phil Joanou,Robert Berger,"Richard Gere, Kim Basinger"
333,Final Analysis,1992,"Public Health Service Hospital (Presidio, Golden Gate National Recreation Area)","In 1776, Spain made the Presido a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use. ",Warner Bros. Pictures,Warner Bros.,Phil Joanou,Robert Berger,"Richard Gere, Kim Basinger"
334,Final Analysis,1992,Presidio (Golden Gate National Recreation Area),"In 1776, Spain made the Presido a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use. ",Warner Bros. Pictures,Warner Bros.,Phil Joanou,Robert Berger,"Richard Gere, Kim Basinger"
335,Final Analysis,1992,Bix Restaurant (56 Gold Street),,Warner Bros. Pictures,Warner Bros.,Phil Joanou,Robert Berger,"Richard Gere, Kim Basinger"
336,Flower Drum Song,1961,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Fields Productions,Universal Pictures,Henry Koster,Joseph Fields,"Nancy Kwan, James Shigeta"
337,Flower Drum Song,1961,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Fields Productions,Universal Pictures,Henry Koster,Joseph Fields,"Nancy Kwan, James Shigeta"
338,Flubber,1997,Treasure Island,"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Walt Disney,Buena Vista Pictures,Les Mayfield,Samuel W. Taylor,"Robin Williams, Marcia Gay Harden"
339,Forrest Gump,1994,Palace of Fine Arts (3301 Lyon Street),"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",Paramount Pictures,Paramount Pictures,Robert Zemeckis,Eric Roth,"Tom Hanks, Robin Wright"
340,Foul Play,1978,"Fort Point (Presidio, Golden Gate National Recreation Area)","Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confererate general learned that the war had ended while en route to SF.",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,"Goldie Hawn, Chevy Chase"
341,Foul Play,1978,Fort Mason (Golden Gate National Recreation Area),"Constructed in 1864 as a coastal defense site, Fort Mason went on to serve as an army post for more than 100 years.",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,"Goldie Hawn, Chevy Chase"
342,Foul Play,1978,Sutter & Buchannan Streets,,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,"Goldie Hawn, Chevy Chase"
343,Foul Play,1978,Sutter & Baker Streets,,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,"Goldie Hawn, Chevy Chase"
344,Foul Play,1978,Sokoji-Soto Zen Buddhist Temple (1691 Laguna Street),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,"Goldie Hawn, Chevy Chase"
345,Foul Play,1978,Sacramento & Hyde Streets (Nob Hill),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,"Goldie Hawn, Chevy Chase"
346,Foul Play,1978,"Postcard Row (Alamo Square, Hayes Valley)",The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,"Goldie Hawn, Chevy Chase, Thomas Haden Church"
347,Foul Play,1978,Pawtrero Hill Bathhouse & Feed Co. (199 Mississippi Street),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,"Goldie Hawn, Chevy Chase, Thomas Haden Church"
348,Foul Play,1978,Octavia & Hayes Streets (Hayes Valley),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,"Goldie Hawn, Chevy Chase, Thomas Haden Church"
349,Foul Play,1978,Montgomery & Pine Streets (Financial District),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,"Goldie Hawn, Chevy Chase, Thomas Haden Church"
350,Foul Play,1978,Laguna & Sacramento Streets (Pacific Heights),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,"Goldie Hawn, Chevy Chase, Thomas Haden Church"
351,Foul Play,1978,"Hayes Valley Care (601 Laguna Street, Hayes Valley)",,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,"Goldie Hawn, Chevy Chase"
352,Foul Play,1978,Golden Gate & Steiner Streets (Hayes Valley),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,"Goldie Hawn, Chevy Chase"
353,Foul Play,1978,Flood Building (870 Market Street),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,"Goldie Hawn, Chevy Chase"
354,Foul Play,1978,"Fiesta Laundromat (898 S. Van Ness Ave., Mission)",,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,"Goldie Hawn, Chevy Chase"
355,Foul Play,1978,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,"Goldie Hawn, Chevy Chase"
356,Foul Play,1978,California & Larkin Streets (Nob Hill),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,"Goldie Hawn, Chevy Chase"
357,Foul Play,1978,"Asian Art Museum (200 Larkin Street, Civic Center)",The Dalai Lama opened an exhibition on Wisdom and Compassion at the museum in 1991.,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,"Goldie Hawn, Chevy Chase"
358,Foul Play,1978,Andrew S. Hallidie Plaza (Market & Powell Streets),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,"Goldie Hawn, Chevy Chase"
359,Foul Play,1978,430 Vallejo Street (Telegraph Hill),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,"Goldie Hawn, Chevy Chase"
360,Foul Play,1978,24th and Castro Streets (Noe Valley),,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,"Goldie Hawn, Chevy Chase"
361,Foul Play,1978,War Memorial Opera House (401 Van Ness Avenue),In 1945 the United Nations had its first conference at The War Memorial Opera House.,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,"Goldie Hawn, Chevy Chase"
